ID	ItemCode	DepartmentID	Name1	Price	UnitID	BarcodeType1	BarcodeType2	ProducedDate
2105	2105	24	西瓜（个）	2	10	7	7	2020/7/28 16:56:37
62105	62105	24	西瓜（个）(折扣)	3	10	7	7	2020/7/28 16:56:37
82105	82105	24	西瓜（个）(精品)	2.1	10	7	7	2020/7/28 16:56:37
66076	66076	24	三文鱼(折扣)	1.1	4	7	7	2020/7/28 16:56:37
86076	86076	24	三文鱼(精品)	19.1	4	7	7	2020/7/28 16:56:37
6076	6076	24	三文鱼	99	4	7	7	2020/7/28 16:56:37
84148	84148	24	隆腾虾仁200kg(精品)	22	4	7	7	2020/7/28 16:56:37
4148	4148	24	隆腾虾仁200kg	11.1	4	7	7	2020/7/28 16:56:37
64148	64148	24	隆腾虾仁200kg(折扣)	3	4	7	7	2020/7/28 16:56:37
86075	86075	24	精选泰国虾(精品)	7	4	7	7	2020/7/28 16:56:37
6075	6075	24	精选泰国虾	4	4	7	7	2020/7/28 16:56:37
66075	66075	24	精选泰国虾(折扣)	5	4	7	7	2020/7/28 16:56:37
64147	64147	24	cwcc生鲜直送0706(折扣)	2.1	4	7	7	2020/7/28 16:56:37
4147	4147	24	cwcc生鲜直送0706	41	4	7	7	2020/7/28 16:56:37
84147	84147	24	cwcc生鲜直送0706(精品)	6.1	4	7	7	2020/7/28 16:56:37
4146	4146	24	财务测试勿动终极版生鲜配送002	8.1	4	7	7	2020/7/28 16:56:37
64146	64146	24	财务测试勿动终极版生鲜配送002(折扣)	9.9	4	7	7	2020/7/28 16:56:37
84146	84146	24	财务测试勿动终极版生鲜配送002(精品)	91	4	7	7	2020/7/28 16:56:37
4145	4145	24	财务测试勿动终极版生鲜配送001	1	4	7	7	2020/7/28 16:56:37
64145	64145	24	财务测试勿动终极版生鲜配送001(折扣)	7	4	7	7	2020/7/28 16:56:37
84145	84145	24	财务测试勿动终极版生鲜配送001(精品)	5	4	7	7	2020/7/28 16:56:37
4144	4144	24	财务测试勿动终极版生鲜直送002	6.1	4	7	7	2020/7/28 16:56:37
64144	64144	24	财务测试勿动终极版生鲜直送002(折扣)	5	4	7	7	2020/7/28 16:56:37
84144	84144	24	财务测试勿动终极版生鲜直送002(精品)	4	4	7	7	2020/7/28 16:56:37
4143	4143	24	财务测试勿动终极版生鲜直送001	5.1	4	7	7	2020/7/28 16:56:37
64143	64143	24	财务测试勿动终极版生鲜直送001(折扣)	4	4	7	7	2020/7/28 16:56:37
84143	84143	24	财务测试勿动终极版生鲜直送001(精品)	4.1	4	7	7	2020/7/28 16:56:37
2104	2104	24	PCS商品	2	10	7	7	2020/7/28 16:56:37
82104	82104	24	PCS商品(精品)	2	4	7	7	2020/7/28 16:56:37
6072	6072	24	七彩贝	3	4	7	7	2020/7/28 16:56:37
66072	66072	24	七彩贝(折扣)	2	4	7	7	2020/7/28 16:56:37
86072	86072	24	七彩贝(精品)	4	4	7	7	2020/7/28 16:56:37
6071	6071	24	冰鲜龙力鱼	8	4	7	7	2020/7/28 16:56:37
66071	66071	24	冰鲜龙力鱼(折扣)	8	4	7	7	2020/7/28 16:56:37
86071	86071	24	冰鲜龙力鱼(精品)	10	4	7	7	2020/7/28 16:56:37
62104	62104	24	PCS商品(折扣)	1	4	7	7	2020/7/28 16:56:37
2052	2052	24	椰青	9	4	7	7	2020/7/28 16:56:37
62052	62052	24	椰青(折扣)	9	4	7	7	2020/7/28 16:56:37
82052	82052	24	椰青(精品)	9.4	4	7	7	2020/7/28 16:56:37
84110	84110	24	豆腐皮(精品)	21	4	7	7	2020/7/28 16:56:37
4110	4110	24	豆腐皮	15	4	7	7	2020/7/28 16:56:37
64110	64110	24	豆腐皮(折扣)	17	4	7	7	2020/7/28 16:56:37
4108	4108	24	诞源杂粮蛋	19	4	7	7	2020/7/28 16:56:37
64108	64108	24	诞源杂粮蛋(折扣)	19	4	7	7	2020/7/28 16:56:37
84108	84108	24	诞源杂粮蛋(精品)	19	4	7	7	2020/7/28 16:56:37
68509	68509	24	饺子皮(折扣)	3	4	7	7	2020/7/28 16:56:37
88509	88509	24	饺子皮(精品)	5	4	7	7	2020/7/28 16:56:37
8509	8509	24	饺子皮	1	4	7	7	2020/7/28 16:56:37
639	639	24	香菜(折扣)	1	4	7	7	2020/7/28 16:56:37
39	39	24	香菜	1	4	7	7	2020/7/28 16:56:37
